# step time eta|J|^2
379 0.249946 0.000198
628 0.499507 0.000311
877 0.749666 0.000395
1125 0.999159 0.000490
1374 1.249813 0.000575
1622 1.499195 0.000646
1872 1.749890 0.000713
2122 1.999800 0.000798
2372 2.249056 0.000872
2624 2.499923 0.000949
2875 2.749726 0.001024
3126 2.999661 0.001096
3377 3.249780 0.001167
3627 3.499031 0.001243
3878 3.749291 0.001321
4129 3.999456 0.001397
4380 4.249465 0.001471
4631 4.499296 0.001546
4631 4.499296 0.001546
4883 4.749977 0.001625
5134 4.999617 0.001704
5385 5.249325 0.001785
5636 5.499134 0.001864
5888 5.749992 0.001942
6139 5.999836 0.002020
6390 6.249622 0.002095
6641 6.499352 0.002169
6892 6.749058 0.002244
7144 6.999745 0.002321
7395 7.249427 0.002400
7646 7.499101 0.002481
7898 7.749761 0.002562
8149 7.999429 0.002643
8400 8.249110 0.002723
8652 8.499804 0.002800
8903 8.749511 0.002878
9154 8.999215 0.002954
9406 9.249896 0.003031
9657 9.499555 0.003109
9908 9.749187 0.003187
10160 9.999793 0.003264
10411 10.249398 0.003341
10662 10.499007 0.003417
10914 10.749622 0.003491
11165 10.999252 0.003567
11417 11.249877 0.003642
11668 11.499497 0.003716
11919 11.749093 0.003792
12171 11.999659 0.003868
12422 12.249213 0.003943
12674 12.499753 0.004019
12925 12.749302 0.004095
13177 12.999853 0.004171
13428 13.249417 0.004247
13680 13.499978 0.004323
13931 13.749540 0.004399
14182 13.999095 0.004475
14434 14.249635 0.004551
14685 14.499176 0.004626
14937 14.749711 0.004701
15188 14.999256 0.004775
15440 15.249804 0.004849
15691 15.499367 0.004923
15943 15.749931 0.004998
16194 15.999507 0.005071
16445 16.249086 0.005145
16697 16.499663 0.005218
16948 16.749251 0.005291
17200 16.999840 0.005364
17451 17.249444 0.005436
17702 17.499059 0.005508
17954 17.749680 0.005581
18205 17.999318 0.005653
18457 18.249963 0.005726
18708 18.499624 0.005797
18959 18.749293 0.005870
19211 18.999967 0.005942
19462 19.249657 0.006014
19713 19.499360 0.006086
19964 19.749077 0.006158
20216 19.999807 0.006231
20467 20.249557 0.006304
20718 20.499324 0.006376
20969 20.749106 0.006448
21221 20.999898 0.006521
21472 21.249707 0.006594
21723 21.499532 0.006667
21974 21.749374 0.006739
22225 21.999234 0.006812
22476 22.249112 0.006885
22727 22.499009 0.006958
22979 22.749918 0.007030
23230 22.999850 0.007102
23481 23.249797 0.007174
23732 23.499761 0.007246
23983 23.749741 0.007317
24234 23.999737 0.007388
24485 24.249751 0.007459
24736 24.499784 0.007529
24987 24.749837 0.007600
25238 24.999910 0.007669
25488 25.249007 0.007739
25739 25.499121 0.007809
25990 25.749255 0.007878
26241 25.999409 0.007947
26492 26.249585 0.008015
26743 26.499781 0.008084
26993 26.749004 0.008152
27244 26.999247 0.008221
27495 27.249514 0.008289
27746 27.499803 0.008357
27996 27.749118 0.008425
28247 27.999453 0.008493
28498 28.249811 0.008561
28748 28.499196 0.008629
28999 28.749603 0.008697
29249 28.999040 0.008765
29500 29.249501 0.008832
29751 29.499990 0.008901
30001 29.749509 0.008968
30252 30.000000 0.009035
