# step time eta|J|^2
378 0.249229 0.035585
627 0.499765 0.068308
875 0.749980 0.082536
1122 0.999338 0.085096
1370 1.249621 0.087001
1618 1.499323 0.084409
1867 1.749087 0.090640
2118 1.999868 0.081036
2369 2.249803 0.088952
2620 2.499188 0.082040
2872 2.749286 0.083425
3124 2.999258 0.084699
3376 3.249135 0.085344
3629 3.499826 0.092987
3881 3.749233 0.092285
4134 3.999257 0.083955
4388 4.249852 0.083719
4641 4.499045 0.091244
4896 4.749853 0.083277
5150 4.999424 0.082746
5405 5.249796 0.089872
5660 5.500000 0.082101
5914 5.749024 0.082085
6170 5.999779 0.081917
6425 6.249321 0.088941
6681 6.499617 0.088217
6937 6.749688 0.087431
7193 6.999520 0.086745
7449 7.249106 0.086315
7706 7.499438 0.078809
7963 7.749581 0.086039
8220 7.999577 0.078625
8477 8.249449 0.085677
8734 8.499196 0.078045
8992 8.749766 0.077562
9249 8.999190 0.084208
9507 9.249388 0.083678
9765 9.499385 0.083257
10023 9.749198 0.082965
10282 9.999821 0.075660
10540 10.249348 0.075496
10799 10.499731 0.082370
11057 10.749039 0.082083
11316 10.999194 0.074696
11575 11.249212 0.081339
11834 11.499083 0.073985
12094 11.749767 0.073686
12353 11.999344 0.080399
12613 12.249755 0.080194
12872 12.499088 0.073086
13132 12.749280 0.072902
13392 12.999368 0.072685
13652 13.249352 0.072434
13912 13.499224 0.072162
14173 13.749940 0.078732
14433 13.999575 0.078474
14693 14.249092 0.078254
14954 14.499458 0.071272
15215 14.749719 0.077900
15476 14.999883 0.070964
15737 15.249955 0.077550
15998 15.499934 0.070604
16259 15.749817 0.077125
16520 15.999603 0.070190
16781 16.249288 0.076692
17043 16.499829 0.076503
17304 16.749316 0.069662
17566 16.999667 0.069521
17828 17.249930 0.069383
18089 17.499153 0.075879
18351 17.749247 0.075711
18613 17.999255 0.075535
18875 18.249178 0.075357
19138 18.499966 0.068595
19400 18.749713 0.068446
19662 18.999375 0.068311
19925 19.249906 0.074742
20187 19.499404 0.074609
20450 19.749777 0.067936
20712 19.999121 0.067804
20975 20.249339 0.074182
21238 20.499479 0.067529
21501 20.749541 0.073887
21764 20.999525 0.067266
22027 21.249431 0.073618
22290 21.499262 0.067031
22554 21.749969 0.066919
22817 21.999655 0.073249
23080 22.249271 0.066692
23344 22.499764 0.066573
23607 22.749238 0.072866
23871 22.999589 0.072738
24135 23.249869 0.072614
24398 23.499132 0.066114
24662 23.749273 0.066010
24926 23.999347 0.065907
25190 24.249355 0.065805
25454 24.499298 0.065701
25718 24.749175 0.065596
25983 24.999934 0.071816
26247 25.249682 0.071702
26511 25.499366 0.071591
26776 25.749932 0.065184
27040 25.999489 0.065088
27305 26.249931 0.071274
27569 26.499367 0.071172
27834 26.749687 0.064804
28099 26.999948 0.070964
28363 27.249205 0.070860
28628 27.499346 0.064520
28893 27.749428 0.070656
29158 27.999451 0.064338
29423 28.249417 0.070462
29688 28.499325 0.064164
29953 28.749176 0.070273
30219 28.999914 0.070177
30484 29.249654 0.063905
30749 29.499338 0.069988
31015 29.749908 0.069895
31281 30.000000 0.067766
