# step time eta|J|^2
379 0.249953 0.001934
628 0.499529 0.002991
877 0.749693 0.003828
1125 0.999186 0.004741
1374 1.249832 0.005516
1622 1.499202 0.006183
1872 1.749892 0.006794
2122 1.999809 0.007563
2372 2.249077 0.008223
2624 2.499965 0.008908
2875 2.749793 0.009593
3126 2.999752 0.010243
3377 3.249891 0.010898
3627 3.499155 0.011577
3878 3.749421 0.012269
4129 3.999586 0.012945
4380 4.249590 0.013581
4631 4.499414 0.014244
4882 4.749089 0.014919
4882 4.749089 0.014919
5134 4.999709 0.015608
5385 5.249397 0.016312
5636 5.499180 0.016993
5887 5.749014 0.017669
6139 5.999827 0.018326
6390 6.249587 0.018952
6641 6.499296 0.019581
6893 6.749974 0.020204
7144 6.999646 0.020828
7395 7.249308 0.021483
7647 7.499954 0.022140
7898 7.749596 0.022793
8149 7.999243 0.023451
8401 8.249903 0.024094
8652 8.499586 0.024703
8903 8.749283 0.025318
9155 8.999976 0.025925
9406 9.249664 0.026522
9657 9.499336 0.027137
9909 9.749985 0.027743
10160 9.999629 0.028331
10411 10.249275 0.028923
10663 10.499929 0.029502
10914 10.749609 0.030065
11165 10.999306 0.030640
11416 11.249013 0.031195
11668 11.499712 0.031766
11919 11.749402 0.032346
12170 11.999074 0.032910
12422 12.249728 0.033482
12673 12.499385 0.034057
12924 12.749051 0.034611
13176 12.999727 0.035149
13427 13.249432 0.035508
13678 13.499177 0.036096
13930 13.749950 0.036618
14181 13.999750 0.037121
14432 14.249565 0.037615
14683 14.499392 0.038132
14934 14.749231 0.038630
15185 14.999082 0.039152
15437 15.249942 0.039680
15688 15.499821 0.040203
15939 15.749713 0.040746
16190 15.999616 0.041276
16441 16.249527 0.041822
16692 16.499445 0.042339
16943 16.749365 0.042867
17194 16.999289 0.043380
17445 17.249216 0.043915
17696 17.499149 0.044435
17947 17.749090 0.044975
18198 17.999038 0.045496
18450 18.249990 0.046020
18701 18.499952 0.046549
18952 18.749920 0.047057
19203 18.999893 0.047581
19454 19.249871 0.048085
19705 19.499855 0.048608
19956 19.749846 0.049114
20207 19.999845 0.049637
20458 20.249853 0.050139
20709 20.499870 0.050656
20960 20.749896 0.051151
21211 20.999931 0.051664
21462 21.249974 0.052154
21712 21.499029 0.052651
21963 21.749090 0.053158
22214 21.999160 0.053646
22465 22.249242 0.054148
22716 22.499336 0.054629
22967 22.749442 0.055124
23218 22.999561 0.055600
23469 23.249691 0.056090
23720 23.499833 0.056560
23971 23.749986 0.057049
24221 23.999154 0.057524
24472 24.249330 0.057989
24723 24.499519 0.058468
24974 24.749721 0.058925
25225 24.999937 0.059398
25475 25.249168 0.059853
25726 25.499409 0.060296
25977 25.749662 0.060755
26228 25.999926 0.061191
26478 26.249204 0.061632
26729 26.499491 0.062079
26980 26.749789 0.062504
27230 26.999102 0.062933
27481 27.249427 0.063370
27732 27.499764 0.063784
27982 27.749118 0.064203
28233 27.999481 0.064630
28484 28.249855 0.065034
28734 28.499244 0.065442
28985 28.749643 0.065861
29235 28.999056 0.066265
29486 29.249480 0.066657
29737 29.499918 0.067067
29987 29.749370 0.067463
30239 30.000000 0.067852
