# step time eta|J|^2
378 0.249009 0.015496
628 0.499745 0.022584
876 0.749035 0.029299
1125 0.999663 0.035449
1373 1.249405 0.040354
1622 1.499848 0.043577
1871 1.749581 0.047224
2121 1.999544 0.050730
2372 2.249851 0.053462
2623 2.499768 0.056854
2874 2.749579 0.059564
3125 2.999466 0.062940
3376 3.249475 0.065576
3627 3.499550 0.068508
3878 3.749585 0.070593
4129 3.999487 0.073326
4380 4.249208 0.075273
4632 4.499725 0.077492
4883 4.749081 0.079956
5135 4.999362 0.081955
5387 5.249684 0.083914
5638 5.499080 0.085510
5890 5.749484 0.087377
6142 5.999839 0.089175
6393 6.249121 0.091169
6645 6.499331 0.092710
6897 6.749500 0.094180
7149 6.999635 0.095639
7401 7.249731 0.097128
7653 7.499779 0.098622
7905 7.749785 0.100095
8157 7.999764 0.101483
8409 8.249727 0.102772
8661 8.499676 0.103965
8913 8.749605 0.105093
9165 8.999500 0.106177
9417 9.249347 0.107245
9669 9.499136 0.108310
9922 9.749859 0.109048
10174 9.999539 0.110083
10426 10.249180 0.111089
10679 10.499788 0.112381
10931 10.749388 0.113306
11184 10.999959 0.113875
11436 11.249510 0.114728
11688 11.499018 0.115560
11941 11.749467 0.116698
12194 11.999863 0.117185
12446 12.249222 0.117963
12699 12.499532 0.119025
12952 12.749808 0.119428
13204 12.999065 0.120122
13457 13.249278 0.121109
13710 13.499452 0.121441
13963 13.749579 0.122382
14216 13.999653 0.122673
14469 14.249671 0.123574
14722 14.499633 0.123825
14722 14.499633 0.123825
14975 14.749543 0.124680
15228 14.999404 0.124882
15481 15.249218 0.125688
15735 15.499971 0.126162
15988 15.749687 0.126303
16241 15.999348 0.127053
16495 16.249938 0.127477
16748 16.499480 0.127574
16748 16.499480 0.127574
17002 16.749948 0.127970
17002 16.749948 0.127970
17255 16.999371 0.128657
17509 17.249722 0.129019
17762 17.499030 0.129054
18016 17.749266 0.129384
18270 17.999443 0.129699
18524 18.249557 0.129998
18778 18.499608 0.130282
19032 18.749594 0.130554
19286 18.999514 0.130812
19540 19.249369 0.131058
19794 19.499160 0.131291
20049 19.749869 0.131821
20303 19.999530 0.132032
20557 20.249127 0.132231
20812 20.499639 0.132112
21066 20.749101 0.132287
21321 20.999477 0.132757
21576 21.249783 0.132608
21830 21.499038 0.132753
22085 21.749206 0.133192
22340 21.999306 0.133015
22595 22.249336 0.133434
22850 22.499298 0.133240
23105 22.749189 0.133642
23361 22.999990 0.133733
23616 23.249739 0.133515
23871 23.499417 0.133892
24126 23.749023 0.133660
24382 23.999536 0.133722
24638 24.249977 0.133777
24893 24.499368 0.134124
25149 24.749666 0.134165
25405 24.999890 0.134199
25660 25.249065 0.133929
25916 25.499143 0.133951
26172 25.749148 0.133967
26428 25.999079 0.133979
26685 26.249913 0.134281
26941 26.499697 0.134282
27197 26.749408 0.134277
27453 26.999045 0.134268
27710 27.249584 0.133960
27966 27.499073 0.133941
28223 27.749463 0.134212
28480 27.999778 0.133892
28736 28.249044 0.133862
28993 28.499210 0.134120
29250 28.749302 0.133790
29507 28.999319 0.134039
29764 29.249262 0.133703
30021 29.499130 0.133944
30279 29.749896 0.133892
30537 30.000000 0.133664
